GEOID,PLACE,total_population,white,black,native_american,asian,aapi,other_race,multi_race,hispanic,total_homes,total_occupied_homes,vacant_homes,renter_occupied_homes,owner_occupied_homes,civilian_employed,civilian_unemployed,civilian_labor_force,gini_index,median_home_value,median_income
1600000US3651000,New York city,8804190,3000945,1943645,86218,1385144,6874,1494267,887097,2490350,3618635,3370448,248187,2365346,1005102,3800934,506815,4307749,0.5472,685700,67997
1600000US0644000,Los Angeles city,3898747,1359068,336096,66491,462643,5960,1150176,518313,1829991,1496453,1410260,86193,904306,505954,1871710,223430,2095140,0.5264,812800,70372
1600000US1714000,Chicago city,2746388,986280,801195,34543,192586,1087,434452,296245,819518,1262612,1142725,119887,670526,472199,1336812,150246,1487058,0.532,297300,66576
1600000US4835000,Houston city,2304580,739873,520389,27428,167189,1366,476667,371668,1013423,998195,896482,101713,528720,367762,1119499,102161,1221660,0.5364,236700,55499
1600000US0455000,Phoenix city,1608139,799174,125260,41053,66169,3699,323859,248925,661574,630752,583009,47743,261683,321326,806532,50861,857393,0.468,352600,68435
1600000US4260000,Philadelphia city,1603797,582636,630462,6212,133553,932,139102,110900,238277,726797,658075,68722,340647,317428,714754,83786,798540,0.5142,220700,52899
1600000US4865000,San Antonio city,1434625,636003,102816,17543,47784,2142,240088,388249,916010,592430,538253,54177,255137,283116,679129,52568,731697,0.4603,197600,54923
1600000US0666000,San Diego city,1386932,643304,82265,12722,247860,5683,195734,199364,411286,548934,515676,33258,276714,238962,687670,61106,748776,0.4654,768800,93042
1600000US4819000,Dallas city,1304379,470819,303577,15376,48588,687,253858,211474,551174,572194,523520,48674,313903,209617,648744,41625,690369,0.5286,267600,57995
1600000US0668000,San Jose city,1013240,276523,29308,14665,390532,4082,184363,113767,316266,342037,328622,13415,151152,177470,503384,35616,539000,0.4634,1119500,126377
1600000US4805000,Austin city,961855,526024,69757,9277,86876,708,114145,155068,312448,444426,410868,33558,241389,169479,570435,31868,602303,0.4939,482900,79542
1600000US1235000,Jacksonville city,949611,475813,290279,3578,48617,1054,44052,86218,110081,411541,378587,32954,166711,211876,454451,22362,476813,0.4652,239400,58621
1600000US4827000,Fort Worth city,918915,412158,180439,7881,47716,1175,130594,138952,319836,346699,323092,23607,142438,180654,459562,24585,484147,0.4594,249000,68235
1600000US3918000,Columbus city,905748,482058,259483,3556,56218,395,38912,65126,70179,415456,382038,33418,220165,161873,478018,31757,509775,0.4362,219200,58202
1600000US1836003,Indianapolis city (balance),887642,461795,248067,4627,37785,407,68073,66888,116221,398007,361641,36366,173181,188460,437469,28128,465597,0.4618,188700,58479
1600000US3712000,Charlotte city,874579,365111,289062,5674,61789,526,83682,68735,142704,379904,355413,24491,175434,179979,481242,25495,506737,0.4911,321400,70869
1600000US0667000,San Francisco city,873965,361382,46725,6475,296505,3476,73169,86233,136761,406628,371851,34777,244927,126924,448416,40991,489407,0.5322,1306400,121826
